"","type","model","value"
"568","Real","model1",0.628125
"569","Real","model1",0.648148148148148
"570","Real","model1",0.646090534979424
"571","Real","model1",0.471571906354515
"572","Real","model1",0.496753246753247
"573","Real","model1",0.711805555555556
"574","Real","model1",0.590625
"575","Real","model1",0.56656346749226
"576","Real","model1",0.588235294117647
"577","Real","model1",0.505016722408027
"578","Real","model1",0.594155844155844
"579","Real","model1",0.513931888544892
"580","Real","model1",0.526984126984127
"581","Real","model1",0.603896103896104
"582","Real","model1",0.6875
"583","Real","model1",0.584375
"584","Real","model1",0.567901234567901
"585","Real","model1",0.538461538461539
"586","Real","model1",0.438311688311688
"587","Real","model1",0.606349206349206
"588","Real","model1",0.485714285714286
"589","Real","model1",0.628571428571428
"590","Real","model1",0.498412698412698
"591","Real","model1",0.5
"592","Real","model1",0.532507739938081
"593","Real","model1",0.597523219814241
"594","Real","model1",0.453968253968254
"595","Real","model1",0.585284280936455
"596","Real","model1",0.662538699690402
"597","Real","model1",0.724458204334365
"598","Real","model1",0.672727272727273
"599","Real","model1",0.545454545454545
"600","Real","model1",0.447530864197531
"601","Real","model1",0.635802469135802
"602","Real","model1",0.6625
"603","Real","model1",0.520123839009288
"604","Real","model1",0.528428093645485
"605","Real","model1",0.521875
"606","Real","model1",0.709375
"607","Real","model1",0.531772575250836
"608","Real","model1",0.631746031746032
"609","Real","model1",0.648829431438127
"610","Real","model1",0.569659442724458
"611","Real","model1",0.541795665634675
"612","Real","model1",0.48
"613","Real","model1",0.600649350649351
"614","Real","model1",0.621527777777778
"615","Real","model1",0.55625
"616","Real","model1",0.557275541795666
"617","Real","model1",0.528125
"618","Real","model1",0.540625
"619","Real","model1",0.656346749226006
"620","Real","model1",0.575
"621","Real","model1",0.478125
"622","Real","model1",0.669753086419753
"623","Real","model1",0.505016722408027
"624","Real","model1",0.430340557275542
"625","Real","model1",0.48494983277592
"626","Real","model1",0.58641975308642
"627","Real","model1",0.538699690402477
"628","Real","model1",0.590625
"629","Real","model1",0.7
"630","Real","model1",0.709876543209876
"631","Real","model1",0.66875
"632","Real","model1",0.596825396825397
"633","Real","model1",0.565625
"634","Real","model1",0.69375
"635","Real","model1",0.520123839009288
"636","Real","model1",0.688271604938271
"637","Real","model1",0.487654320987654
"638","Real","model1",0.451298701298701
"639","Real","model1",0.640866873065015
"640","Real","model1",0.634920634920635
"641","Real","model1",0.608695652173913
"642","Real","model1",0.580246913580247
"643","Real","model1",0.46749226006192
"644","Real","model1",0.548611111111111
"645","Real","model1",0.662538699690402
"646","Real","model1",0.558730158730159
"647","Real","model1",0.501818181818182
"648","Real","model1",0.528428093645485
"649","Real","model1",0.444444444444444
"650","Real","model1",0.707792207792208
"651","Real","model1",0.461038961038961
"652","Real","model1",0.595679012345679
"653","Real","model1",0.615873015873016
"654","Real","model1",0.567901234567901
"655","Real","model1",0.534375
"656","Real","model1",0.559375
"657","Real","model1",0.637860082304527
"658","Real","model1",0.474025974025974
"659","Real","model1",0.409090909090909
"660","Real","model1",0.5
"661","Real","model1",0.56656346749226
"662","Real","model1",0.465625
"663","Real","model1",0.6
"664","Real","model1",0.479876160990712
"665","Real","model1",0.622291021671827
"666","Real","model1",0.574603174603175
"667","Real","model1",0.49375
"668","Real","model1",0.703125
"669","Real","model1",0.549206349206349
"670","Real","model1",0.424749163879599
"671","Real","model1",0.638095238095238
"672","Real","model1",0.46984126984127
"673","Real","model1",0.48
"674","Real","model1",0.638888888888889
"675","Real","model1",0.538181818181818
"676","Real","model1",0.580246913580247
"677","Real","model1",0.521875
"678","Real","model1",0.544891640866873
"679","Real","model1",0.558528428093645
"680","Real","model1",0.51702786377709
"681","Real","model1",0.489164086687306
"682","Real","model1",0.51875
"683","Real","model1",0.575250836120401
"684","Real","model1",0.526984126984127
"685","Real","model1",0.492260061919505
"686","Real","model1",0.535117056856187
"687","Real","model1",0.501587301587301
"688","Real","model1",0.575
"689","Real","model1",0.584126984126984
"690","Real","model1",0.477272727272727
"691","Real","model1",0.669230769230769
"692","Real","model1",0.678018575851393
"693","Real","model1",0.510835913312693
"694","Real","model1",0.65015479876161
"695","Real","model1",0.49025974025974
"696","Real","model1",0.521875
"697","Real","model1",0.5
"698","Real","model1",0.65015479876161
"699","Real","model1",0.560371517027864
"700","Real","model1",0.520123839009288
"701","Real","model1",0.542207792207792
"702","Real","model1",0.486068111455108
"703","Real","model1",0.481481481481482
"704","Real","model1",0.518518518518519
"705","Real","model1",0.506493506493506
"706","Real","model1",0.597222222222222
"707","Real","model1",0.578595317725753
"708","Real","model1",0.417956656346749
"709","Real","model1",0.529220779220779
"710","Real","model1",0.675585284280937
"711","Real","model1",0.532467532467533
"712","Real","model1",0.55
"713","Real","model1",0.580952380952381
"714","Real","model1",0.622222222222222
"715","Real","model1",0.587301587301587
"716","Real","model1",0.613003095975232
"717","Real","model1",0.432727272727273
"718","Real","model1",0.682274247491639
"719","Real","model1",0.501547987616099
"720","Real","model1",0.5375
"721","Real","model1",0.588235294117647
"722","Real","model1",0.606349206349206
"723","Real","model1",0.461300309597523
"724","Real","model1",0.640625
"725","Real","model1",0.591331269349845
"726","Real","model1",0.546875
"727","Real","model1",0.496875
"728","Real","model1",0.578947368421052
"729","Real","model1",0.659090909090909
"730","Real","model1",0.593650793650794
"731","Real","model1",0.569444444444444
"732","Real","model1",0.611111111111111
"733","Real","model1",0.558730158730159
"734","Real","model1",0.584375
"735","Real","model1",0.62876254180602
"736","Real","model1",0.606811145510836
"737","Real","model1",0.571875
"738","Real","model1",0.585139318885449
"739","Real","model1",0.593650793650793
"740","Real","model1",0.560371517027864
"741","Real","model1",0.5625
